ID,Statement,Question_phi,Question_mistral,Label
6767.json,President Obama decided not to meet with Prime Minister Benjamin Netanyahu in New York., Does the headline accurately reflect the events surrounding a decision by President Obama not to meet with Prime Minister Benjamin Netanyahu in New York?,"1. ""Did President Obama cancel his scheduled meeting with Prime Minister Netanyahu in New York around [specific year]?"" (Replace [specific year] with the year in question to narrow down the search results.)",mostly-true
11043.json,"In a majority of states, you can now marry freely, but can still be fired for who you love."," ""Is it true that in most states, there's freedom to marry without restrictions, yet individuals may still lose their jobs due to their sexual orientation or whom they love?""",What is the current legal status of same-sex marriage and employment discrimination in most US states?,mostly-true
4357.json,Say Oregon Reps. Peter DeFazio and Earl Blumenauer are socialists who are openly serving in the U.S. Congress., What evidence supports the claim that Oregon Representatives Peter DeFazio and Earl Blumenauer are socialists serving in the U.S. Congress?,"1. ""Have Oregon Reps. Peter DeFazio and Earl Blumenauer publicly identified as socialists in their congressional careers?""",pants-fire
162.json,"Rudy Giuliani is ""probably the most underqualified man since George Bush to seek the presidency."""," What evidence supports the claim that Rudy Giuliani is ""probably the most underqualified man since George Bush to seek the presidency?""","1. ""Who is considered the most underqualified man for the presidency besides Rudy Giuliani and George Bush?""",pants-fire
10768.json,"About half of the presidents have been governors; half of them, senators.", Which verifiable statistics confirm the statement that half of the presidents have been governors and half have been senators?, qué porcentaje exacto de los presidentes estadounidenses ha ocupado el cargo de gobernador o senador? (What is the exact percentage of US presidents who have been governors or senators?),false
12593.json,"After Britains vote to leave the European Union, within 24 hours, Americans lost $100 billion from our 401(k)s.", What evidence supports the claim that Americans lost $100 billion from 401(k)s within 24 hours after Britains vote to leave the EU?,"1. ""Did Americans experience a $100 billion loss in their 401(k)s within 24 hours of the Brexit vote?""",mostly-true
8164.json,"Medicaid spending declined by 1.9 percent in 2012, the second such decline in 47 years."," What data supports the claim that Medicaid spending declined by 1.9 percent in 2012, marking the second decline in 47 years?","1. ""What was the percentage change in Medicaid spending in the US during the year 2012?""",mostly-true
6520.json,Says 88 Texas constables have died in the line of duty., What is the reported number of Texas constables who have died in the line of duty?,"1. ""How many Texas constables have died in the line of duty according to reliable sources?""",true
9500.json,"Gov. Rick Scott cut the cost of prepaid college tuition by nearly $20,000."," How does Governor Rick Scott's action reduce the cost of prepaid college tuition by nearly $20,000?","1. ""Did Florida Governor Rick Scott reduce the cost of prepaid college tuition by approximately $20,000?""",mostly-true
4629.json,"The city of Columbus would save $41 million a year if employees had to contribute to their own, guaranteed-check pensions.", What evidence supports the claim that Columbus would save $41 million a year if employees contributed to their own pensions?,"1. ""How much money could the city of Columbus save annually if employees contributed to their own pensions?""",mostly-true
